model,accuracy,precision,recall,f1
NaiveBayes,0.6841243862520459,1.0,0.6295585412667947,0.7726737338044759
LogisticRegression,0.972176759410802,0.9827586206896551,0.9846449136276392,0.9837008628954937
DecisionTree,0.9590834697217676,1.0,0.9520153550863724,0.9754178957718781
RandomForest,0.9705400981996727,0.982725527831094,0.982725527831094,0.982725527831094
