bin_left,bin_right,count
0.0,3.25,7
3.25,6.5,0
6.5,9.75,0
9.75,13.0,0
13.0,16.25,0
16.25,19.5,43
19.5,22.75,42
22.75,26.0,66
26.0,29.25,176
29.25,32.5,168
32.5,35.75,225
35.75,39.0,221
39.0,42.25,313
42.25,45.5,210
45.5,48.75,179
48.75,52.0,142
52.0,55.25,123
55.25,58.5,59
58.5,61.75,36
61.75,65.0,26
